Worm number,Experiment Name,Plate ID,Well Location,Dosage,Strain,Any worm detected,Last day of observation,Last day of health,Manual Censor,Runoff Censor inital,Runoff Censor experiment,Potentially still alive,Death Detected
146,Mitochondrial_biogenesis_005,Mito_Bio_4-1,146,100uM MC16,n2,1,20,15,0,0,0,0,1
147,Mitochondrial_biogenesis_005,Mito_Bio_4-1,147,100uM MC16,n2,1,23,23,0,0,1,0,0
148,Mitochondrial_biogenesis_005,Mito_Bio_4-1,148,100uM MC16,n2,1,32,31,0,0,0,0,1
149,Mitochondrial_biogenesis_005,Mito_Bio_4-1,149,100uM MC16,n2,1,23,19,0,0,0,0,1
150,Mitochondrial_biogenesis_005,Mito_Bio_4-1,150,100uM MC16,n2,1,30,26,0,0,0,0,1
151,Mitochondrial_biogenesis_005,Mito_Bio_4-1,151,100uM MC16,n2,1,31,21,0,0,0,0,1
152,Mitochondrial_biogenesis_005,Mito_Bio_4-1,152,100uM MC16,n2,1,38,24,0,0,0,0,1
153,Mitochondrial_biogenesis_005,Mito_Bio_4-1,153,100uM MC16,n2,1,13,12,0,0,0,0,1
154,Mitochondrial_biogenesis_005,Mito_Bio_4-1,154,100uM MC16,n2,1,1,0,0,1,0,0,0
155,Mitochondrial_biogenesis_005,Mito_Bio_4-1,155,100uM MC16,n2,1,17,16,0,0,0,0,1
156,Mitochondrial_biogenesis_005,Mito_Bio_4-1,156,100uM MC16,n2,1,19,14,0,0,0,0,1
157,Mitochondrial_biogenesis_005,Mito_Bio_4-1,157,100uM MC16,n2,1,22,16,0,0,0,0,1
158,Mitochondrial_biogenesis_005,Mito_Bio_4-1,158,100uM MC16,n2,1,17,16,0,0,0,0,1
159,Mitochondrial_biogenesis_005,Mito_Bio_4-1,159,100uM MC16,n2,1,11,9,0,0,0,0,1
160,Mitochondrial_biogenesis_005,Mito_Bio_4-1,160,100uM MC16,n2,1,17,16,0,0,0,0,1
161,Mitochondrial_biogenesis_005,Mito_Bio_4-1,161,100uM MC16,n2,1,26,17,0,0,0,0,1
162,Mitochondrial_biogenesis_005,Mito_Bio_4-1,162,100uM MC16,n2,1,24,17,0,0,0,0,1
163,Mitochondrial_biogenesis_005,Mito_Bio_4-1,163,100uM MC16,n2,1,23,17,0,0,0,0,1
164,Mitochondrial_biogenesis_005,Mito_Bio_4-1,164,100uM MC16,n2,1,28,27,0,0,0,0,1
165,Mitochondrial_biogenesis_005,Mito_Bio_4-1,165,100uM MC16,n2,1,9,9,0,0,1,0,0
166,Mitochondrial_biogenesis_005,Mito_Bio_4-1,166,100uM MC16,n2,1,10,4,0,0,0,0,1
167,Mitochondrial_biogenesis_005,Mito_Bio_4-1,167,100uM MC16,n2,1,2,0,0,1,0,0,0
168,Mitochondrial_biogenesis_005,Mito_Bio_4-1,168,100uM MC16,n2,1,20,15,0,0,0,0,1
169,Mitochondrial_biogenesis_005,Mito_Bio_4-1,169,100uM MC16,n2,1,22,21,0,0,0,0,1
170,Mitochondrial_biogenesis_005,Mito_Bio_4-1,170,100uM MC16,n2,1,28,27,0,0,0,0,1
171,Mitochondrial_biogenesis_005,Mito_Bio_4-1,171,100uM MC16,n2,1,34,28,0,0,0,0,1
172,Mitochondrial_biogenesis_005,Mito_Bio_4-1,172,100uM MC16,n2,1,27,22,0,0,0,0,1
173,Mitochondrial_biogenesis_005,Mito_Bio_4-1,173,100uM MC16,n2,1,25,17,0,0,0,0,1
174,Mitochondrial_biogenesis_005,Mito_Bio_4-1,174,100uM MC16,n2,1,17,16,0,0,0,0,1
175,Mitochondrial_biogenesis_005,Mito_Bio_4-1,175,100uM MC16,n2,1,17,16,0,0,0,0,1
176,Mitochondrial_biogenesis_005,Mito_Bio_4-1,176,100uM MC16,n2,1,13,11,0,0,0,0,1
177,Mitochondrial_biogenesis_005,Mito_Bio_4-1,177,100uM MC16,n2,1,28,19,0,0,0,0,1
178,Mitochondrial_biogenesis_005,Mito_Bio_4-1,178,100uM MC16,n2,1,12,12,0,0,1,0,0
179,Mitochondrial_biogenesis_005,Mito_Bio_4-1,179,100uM MC16,n2,1,6,4,0,0,0,0,1
180,Mitochondrial_biogenesis_005,Mito_Bio_4-1,180,100uM MC16,n2,1,2,0,0,1,0,0,0
181,Mitochondrial_biogenesis_005,Mito_Bio_4-1,181,100uM MC16,n2,1,20,11,0,0,0,0,1
182,Mitochondrial_biogenesis_005,Mito_Bio_4-1,182,100uM MC16,n2,1,11,9,0,0,0,0,1
183,Mitochondrial_biogenesis_005,Mito_Bio_4-1,183,100uM MC16,n2,1,30,23,0,0,0,0,1
184,Mitochondrial_biogenesis_005,Mito_Bio_4-1,184,100uM MC16,n2,1,18,14,0,0,0,0,1
185,Mitochondrial_biogenesis_005,Mito_Bio_4-1,185,100uM MC16,n2,1,14,13,0,0,0,0,1
186,Mitochondrial_biogenesis_005,Mito_Bio_4-1,186,100uM MC16,n2,1,26,25,0,0,0,0,1
187,Mitochondrial_biogenesis_005,Mito_Bio_4-1,187,100uM MC16,n2,1,12,12,0,0,1,0,0
188,Mitochondrial_biogenesis_005,Mito_Bio_4-1,188,100uM MC16,n2,1,2,0,0,1,0,0,0
189,Mitochondrial_biogenesis_005,Mito_Bio_4-1,189,100uM MC16,n2,1,18,17,0,0,0,0,1
190,Mitochondrial_biogenesis_005,Mito_Bio_4-1,190,100uM MC16,n2,1,8,7,0,0,0,0,1
191,Mitochondrial_biogenesis_005,Mito_Bio_4-1,191,100uM MC16,n2,1,17,14,0,0,0,0,1
192,Mitochondrial_biogenesis_005,Mito_Bio_4-1,192,100uM MC16,n2,1,17,16,0,0,0,0,1
193,Mitochondrial_biogenesis_005,Mito_Bio_4-1,193,DMSO Control,n2,1,3,0,0,1,0,0,0
194,Mitochondrial_biogenesis_005,Mito_Bio_4-1,194,DMSO Control,n2,1,4,4,0,0,1,0,0
195,Mitochondrial_biogenesis_005,Mito_Bio_4-1,195,DMSO Control,n2,1,17,15,0,0,0,0,1
196,Mitochondrial_biogenesis_005,Mito_Bio_4-1,196,DMSO Control,n2,1,14,13,0,0,0,0,1
197,Mitochondrial_biogenesis_005,Mito_Bio_4-1,197,DMSO Control,n2,1,29,19,0,0,0,0,1
198,Mitochondrial_biogenesis_005,Mito_Bio_4-1,198,DMSO Control,n2,1,12,10,0,0,0,0,1
199,Mitochondrial_biogenesis_005,Mito_Bio_4-1,199,DMSO Control,n2,1,7,0,0,1,0,0,0
200,Mitochondrial_biogenesis_005,Mito_Bio_4-1,200,DMSO Control,n2,1,17,14,0,0,0,0,1
201,Mitochondrial_biogenesis_005,Mito_Bio_4-1,201,DMSO Control,n2,1,21,16,0,0,0,0,1
202,Mitochondrial_biogenesis_005,Mito_Bio_4-1,202,DMSO Control,n2,0,2,0,0,1,0,0,0
203,Mitochondrial_biogenesis_005,Mito_Bio_4-1,203,DMSO Control,n2,0,1,0,0,1,0,0,0
204,Mitochondrial_biogenesis_005,Mito_Bio_4-1,204,DMSO Control,n2,1,17,14,0,0,0,0,1
205,Mitochondrial_biogenesis_005,Mito_Bio_4-1,205,DMSO Control,n2,1,17,16,0,0,0,0,1
206,Mitochondrial_biogenesis_005,Mito_Bio_4-1,206,DMSO Control,n2,1,29,28,0,0,0,0,1
207,Mitochondrial_biogenesis_005,Mito_Bio_4-1,207,DMSO Control,n2,1,12,11,0,0,0,0,1
208,Mitochondrial_biogenesis_005,Mito_Bio_4-1,208,DMSO Control,n2,1,12,12,0,0,1,0,0
209,Mitochondrial_biogenesis_005,Mito_Bio_4-1,209,DMSO Control,n2,1,23,16,0,0,0,0,1
210,Mitochondrial_biogenesis_005,Mito_Bio_4-1,210,DMSO Control,n2,1,20,16,0,0,0,0,1
211,Mitochondrial_biogenesis_005,Mito_Bio_4-1,211,DMSO Control,n2,1,26,19,0,0,0,0,1
212,Mitochondrial_biogenesis_005,Mito_Bio_4-1,212,DMSO Control,n2,1,19,15,0,0,0,0,1
213,Mitochondrial_biogenesis_005,Mito_Bio_4-1,213,DMSO Control,n2,1,24,15,0,0,0,0,1
214,Mitochondrial_biogenesis_005,Mito_Bio_4-1,214,DMSO Control,n2,1,13,10,0,0,0,0,1
215,Mitochondrial_biogenesis_005,Mito_Bio_4-1,215,DMSO Control,n2,1,15,11,0,0,0,0,1
216,Mitochondrial_biogenesis_005,Mito_Bio_4-1,216,DMSO Control,n2,1,20,18,0,0,0,0,1
217,Mitochondrial_biogenesis_005,Mito_Bio_4-1,217,DMSO Control,n2,1,9,7,0,0,0,0,1
218,Mitochondrial_biogenesis_005,Mito_Bio_4-1,218,DMSO Control,n2,1,22,15,0,0,0,0,1
219,Mitochondrial_biogenesis_005,Mito_Bio_4-1,219,DMSO Control,n2,1,21,16,0,0,0,0,1
220,Mitochondrial_biogenesis_005,Mito_Bio_4-1,220,DMSO Control,n2,1,55,54,0,0,0,0,1
221,Mitochondrial_biogenesis_005,Mito_Bio_4-1,221,DMSO Control,n2,1,17,14,0,0,0,0,1
222,Mitochondrial_biogenesis_005,Mito_Bio_4-1,222,DMSO Control,n2,1,14,10,0,0,0,0,1
223,Mitochondrial_biogenesis_005,Mito_Bio_4-1,223,DMSO Control,n2,1,26,16,0,0,0,0,1
224,Mitochondrial_biogenesis_005,Mito_Bio_4-1,224,DMSO Control,n2,1,17,12,0,0,0,0,1
225,Mitochondrial_biogenesis_005,Mito_Bio_4-1,225,DMSO Control,n2,1,14,12,0,0,0,0,1
226,Mitochondrial_biogenesis_005,Mito_Bio_4-1,226,DMSO Control,n2,1,22,18,0,0,0,0,1
227,Mitochondrial_biogenesis_005,Mito_Bio_4-1,227,DMSO Control,n2,1,20,19,0,0,0,0,1
228,Mitochondrial_biogenesis_005,Mito_Bio_4-1,228,DMSO Control,n2,1,15,11,0,0,0,0,1
229,Mitochondrial_biogenesis_005,Mito_Bio_4-1,229,DMSO Control,n2,1,4,0,0,1,0,0,0
230,Mitochondrial_biogenesis_005,Mito_Bio_4-1,230,DMSO Control,n2,1,12,11,0,0,0,0,1
231,Mitochondrial_biogenesis_005,Mito_Bio_4-1,231,DMSO Control,n2,1,18,18,0,0,0,0,1
232,Mitochondrial_biogenesis_005,Mito_Bio_4-1,232,DMSO Control,n2,1,8,8,0,0,1,0,0
233,Mitochondrial_biogenesis_005,Mito_Bio_4-1,233,DMSO Control,n2,1,17,16,0,0,0,0,1
234,Mitochondrial_biogenesis_005,Mito_Bio_4-1,234,DMSO Control,n2,1,17,13,0,0,0,0,1
235,Mitochondrial_biogenesis_005,Mito_Bio_4-1,235,DMSO Control,n2,1,24,23,0,0,0,0,1
236,Mitochondrial_biogenesis_005,Mito_Bio_4-1,236,DMSO Control,n2,1,25,24,0,0,0,0,1
237,Mitochondrial_biogenesis_005,Mito_Bio_4-1,237,DMSO Control,n2,1,12,11,0,0,0,0,1
238,Mitochondrial_biogenesis_005,Mito_Bio_4-1,238,DMSO Control,n2,1,13,12,0,0,0,0,1
239,Mitochondrial_biogenesis_005,Mito_Bio_4-1,239,DMSO Control,n2,1,11,10,0,0,0,0,1
240,Mitochondrial_biogenesis_005,Mito_Bio_4-1,240,DMSO Control,n2,0,1,0,0,1,0,0,0
241,Mitochondrial_biogenesis_005,Mito_Bio_4-2,1,DMSO Control,n2,0,1,0,0,1,0,0,0
242,Mitochondrial_biogenesis_005,Mito_Bio_4-2,2,DMSO Control,n2,0,1,0,0,1,0,0,0
243,Mitochondrial_biogenesis_005,Mito_Bio_4-2,3,DMSO Control,n2,1,3,0,0,1,0,0,0
244,Mitochondrial_biogenesis_005,Mito_Bio_4-2,4,DMSO Control,n2,1,4,3,0,0,0,0,1
245,Mitochondrial_biogenesis_005,Mito_Bio_4-2,5,DMSO Control,n2,1,14,10,0,0,0,0,1
246,Mitochondrial_biogenesis_005,Mito_Bio_4-2,6,DMSO Control,n2,1,20,19,0,0,0,0,1
247,Mitochondrial_biogenesis_005,Mito_Bio_4-2,7,DMSO Control,n2,1,28,27,0,0,0,0,1
248,Mitochondrial_biogenesis_005,Mito_Bio_4-2,8,DMSO Control,n2,1,27,26,0,0,0,0,1
249,Mitochondrial_biogenesis_005,Mito_Bio_4-2,9,DMSO Control,n2,1,1,0,0,1,0,0,0
250,Mitochondrial_biogenesis_005,Mito_Bio_4-2,10,DMSO Control,n2,1,2,0,0,1,0,0,0
251,Mitochondrial_biogenesis_005,Mito_Bio_4-2,11,DMSO Control,n2,1,4,3,0,0,0,0,1
252,Mitochondrial_biogenesis_005,Mito_Bio_4-2,12,DMSO Control,n2,0,1,0,0,1,0,0,0
253,Mitochondrial_biogenesis_005,Mito_Bio_4-2,13,DMSO Control,n2,0,2,0,0,1,0,0,0
254,Mitochondrial_biogenesis_005,Mito_Bio_4-2,14,DMSO Control,n2,1,32,30,0,0,0,0,1
255,Mitochondrial_biogenesis_005,Mito_Bio_4-2,15,DMSO Control,n2,1,22,18,0,0,0,0,1
256,Mitochondrial_biogenesis_005,Mito_Bio_4-2,16,DMSO Control,n2,1,14,11,0,0,0,0,1
257,Mitochondrial_biogenesis_005,Mito_Bio_4-2,17,DMSO Control,n2,1,27,22,0,0,0,0,1
258,Mitochondrial_biogenesis_005,Mito_Bio_4-2,18,DMSO Control,n2,1,23,23,0,0,1,0,0
259,Mitochondrial_biogenesis_005,Mito_Bio_4-2,19,DMSO Control,n2,1,39,34,0,0,0,0,1
260,Mitochondrial_biogenesis_005,Mito_Bio_4-2,20,DMSO Control,n2,1,17,17,0,0,1,0,0
261,Mitochondrial_biogenesis_005,Mito_Bio_4-2,21,DMSO Control,n2,1,22,20,0,0,0,0,1
262,Mitochondrial_biogenesis_005,Mito_Bio_4-2,22,DMSO Control,n2,1,27,26,0,0,0,0,1
263,Mitochondrial_biogenesis_005,Mito_Bio_4-2,23,DMSO Control,n2,0,1,0,0,1,0,0,0
264,Mitochondrial_biogenesis_005,Mito_Bio_4-2,24,DMSO Control,n2,0,1,0,0,1,0,0,0
265,Mitochondrial_biogenesis_005,Mito_Bio_4-2,25,DMSO Control,n2,1,19,19,0,0,0,0,1
266,Mitochondrial_biogenesis_005,Mito_Bio_4-2,26,DMSO Control,n2,1,25,19,0,0,0,0,1
267,Mitochondrial_biogenesis_005,Mito_Bio_4-2,27,DMSO Control,n2,1,21,20,0,0,0,0,1
268,Mitochondrial_biogenesis_005,Mito_Bio_4-2,28,DMSO Control,n2,1,6,4,0,0,0,0,1
269,Mitochondrial_biogenesis_005,Mito_Bio_4-2,29,DMSO Control,n2,1,8,5,0,0,0,0,1
270,Mitochondrial_biogenesis_005,Mito_Bio_4-2,30,DMSO Control,n2,1,13,12,0,0,0,0,1
271,Mitochondrial_biogenesis_005,Mito_Bio_4-2,31,DMSO Control,n2,1,10,7,0,0,0,0,1
272,Mitochondrial_biogenesis_005,Mito_Bio_4-2,32,DMSO Control,n2,1,27,24,0,0,0,0,1
273,Mitochondrial_biogenesis_005,Mito_Bio_4-2,33,DMSO Control,n2,1,19,18,0,0,0,0,1
274,Mitochondrial_biogenesis_005,Mito_Bio_4-2,34,DMSO Control,n2,1,10,10,0,0,1,0,0
275,Mitochondrial_biogenesis_005,Mito_Bio_4-2,35,DMSO Control,n2,1,8,5,0,0,0,0,1
276,Mitochondrial_biogenesis_005,Mito_Bio_4-2,36,DMSO Control,n2,1,10,9,0,0,0,0,1
277,Mitochondrial_biogenesis_005,Mito_Bio_4-2,37,DMSO Control,n2,1,1,0,0,0,0,0,1
278,Mitochondrial_biogenesis_005,Mito_Bio_4-2,38,DMSO Control,n2,1,17,14,0,0,0,0,1
279,Mitochondrial_biogenesis_005,Mito_Bio_4-2,39,DMSO Control,n2,1,1,0,0,1,0,0,0
280,Mitochondrial_biogenesis_005,Mito_Bio_4-2,40,DMSO Control,n2,1,27,27,0,0,1,0,0
281,Mitochondrial_biogenesis_005,Mito_Bio_4-2,41,DMSO Control,n2,0,1,0,0,1,0,0,0
282,Mitochondrial_biogenesis_005,Mito_Bio_4-2,42,DMSO Control,n2,1,30,28,0,0,0,0,1
283,Mitochondrial_biogenesis_005,Mito_Bio_4-2,43,DMSO Control,n2,1,27,23,0,0,0,0,1
284,Mitochondrial_biogenesis_005,Mito_Bio_4-2,44,DMSO Control,n2,1,26,26,0,0,1,0,0
285,Mitochondrial_biogenesis_005,Mito_Bio_4-2,45,DMSO Control,n2,1,24,20,0,0,0,0,1
286,Mitochondrial_biogenesis_005,Mito_Bio_4-2,46,DMSO Control,n2,1,19,10,0,0,0,0,1
287,Mitochondrial_biogenesis_005,Mito_Bio_4-2,47,DMSO Control,n2,1,26,25,0,0,0,0,1
288,Mitochondrial_biogenesis_005,Mito_Bio_4-2,48,DMSO Control,n2,1,12,11,0,0,0,0,1
289,Mitochondrial_biogenesis_005,Mito_Bio_4-2,49,Control,n2,1,20,19,0,0,0,0,1
290,Mitochondrial_biogenesis_005,Mito_Bio_4-2,50,Control,n2,1,27,25,0,0,0,0,1
291,Mitochondrial_biogenesis_005,Mito_Bio_4-2,51,Control,n2,0,2,0,0,1,0,0,0
292,Mitochondrial_biogenesis_005,Mito_Bio_4-2,52,Control,n2,1,26,24,0,0,0,0,1
293,Mitochondrial_biogenesis_005,Mito_Bio_4-2,53,Control,n2,1,22,18,0,0,0,0,1
294,Mitochondrial_biogenesis_005,Mito_Bio_4-2,54,Control,n2,1,25,18,0,0,0,0,1
295,Mitochondrial_biogenesis_005,Mito_Bio_4-2,55,Control,n2,1,27,15,0,0,0,0,1
296,Mitochondrial_biogenesis_005,Mito_Bio_4-2,56,Control,n2,1,32,31,0,0,0,0,1
297,Mitochondrial_biogenesis_005,Mito_Bio_4-2,57,Control,n2,1,4,4,0,0,1,0,0
298,Mitochondrial_biogenesis_005,Mito_Bio_4-2,58,Control,n2,1,23,23,0,0,1,0,0
299,Mitochondrial_biogenesis_005,Mito_Bio_4-2,59,Control,n2,1,26,23,0,0,0,0,1
300,Mitochondrial_biogenesis_005,Mito_Bio_4-2,60,Control,n2,0,1,0,0,1,0,0,0
301,Mitochondrial_biogenesis_005,Mito_Bio_4-2,61,Control,n2,0,2,0,0,1,0,0,0
302,Mitochondrial_biogenesis_005,Mito_Bio_4-2,62,Control,n2,1,26,22,0,0,0,0,1
303,Mitochondrial_biogenesis_005,Mito_Bio_4-2,63,Control,n2,1,31,25,0,0,0,0,1
304,Mitochondrial_biogenesis_005,Mito_Bio_4-2,64,Control,n2,1,27,23,0,0,0,0,1
305,Mitochondrial_biogenesis_005,Mito_Bio_4-2,65,Control,n2,1,31,26,0,0,0,0,1
306,Mitochondrial_biogenesis_005,Mito_Bio_4-2,66,Control,n2,1,12,10,0,0,0,0,1
307,Mitochondrial_biogenesis_005,Mito_Bio_4-2,67,Control,n2,1,13,10,0,0,0,0,1
308,Mitochondrial_biogenesis_005,Mito_Bio_4-2,68,Control,n2,1,35,34,0,0,0,0,1
309,Mitochondrial_biogenesis_005,Mito_Bio_4-2,69,Control,n2,1,15,12,0,0,0,0,1
310,Mitochondrial_biogenesis_005,Mito_Bio_4-2,70,Control,n2,1,29,28,0,0,0,0,1
311,Mitochondrial_biogenesis_005,Mito_Bio_4-2,71,Control,n2,1,3,0,0,1,0,0,0
312,Mitochondrial_biogenesis_005,Mito_Bio_4-2,72,Control,n2,1,6,6,0,0,1,0,0
313,Mitochondrial_biogenesis_005,Mito_Bio_4-2,73,Control,n2,1,16,11,0,0,0,0,1
314,Mitochondrial_biogenesis_005,Mito_Bio_4-2,74,Control,n2,1,24,24,0,0,1,0,0
315,Mitochondrial_biogenesis_005,Mito_Bio_4-2,75,Control,n2,1,8,8,0,0,1,0,0
316,Mitochondrial_biogenesis_005,Mito_Bio_4-2,76,Control,n2,1,23,18,0,0,0,0,1
317,Mitochondrial_biogenesis_005,Mito_Bio_4-2,77,Control,n2,1,13,7,0,0,0,0,1
318,Mitochondrial_biogenesis_005,Mito_Bio_4-2,78,Control,n2,1,30,28,0,0,0,0,1
319,Mitochondrial_biogenesis_005,Mito_Bio_4-2,79,Control,n2,0,6,0,0,1,0,0,0
320,Mitochondrial_biogenesis_005,Mito_Bio_4-2,80,Control,n2,1,23,10,0,0,0,0,1
321,Mitochondrial_biogenesis_005,Mito_Bio_4-2,81,Control,n2,1,26,17,0,0,0,0,1
322,Mitochondrial_biogenesis_005,Mito_Bio_4-2,82,Control,n2,1,7,7,0,0,1,0,0
323,Mitochondrial_biogenesis_005,Mito_Bio_4-2,83,Control,n2,1,19,19,0,0,1,0,0
324,Mitochondrial_biogenesis_005,Mito_Bio_4-2,84,Control,n2,1,9,6,0,0,0,0,1
325,Mitochondrial_biogenesis_005,Mito_Bio_4-2,85,Control,n2,1,6,6,0,0,1,0,0
326,Mitochondrial_biogenesis_005,Mito_Bio_4-2,86,Control,n2,1,17,17,0,0,1,0,0
327,Mitochondrial_biogenesis_005,Mito_Bio_4-2,87,Control,n2,1,12,11,0,0,0,0,1
328,Mitochondrial_biogenesis_005,Mito_Bio_4-2,88,Control,n2,1,31,20,0,0,0,0,1
329,Mitochondrial_biogenesis_005,Mito_Bio_4-2,89,Control,n2,1,31,18,0,0,0,0,1
330,Mitochondrial_biogenesis_005,Mito_Bio_4-2,90,Control,n2,1,14,13,0,0,0,0,1
331,Mitochondrial_biogenesis_005,Mito_Bio_4-2,91,Control,n2,1,28,15,0,0,0,0,1
332,Mitochondrial_biogenesis_005,Mito_Bio_4-2,92,Control,n2,1,28,27,0,0,0,0,1
333,Mitochondrial_biogenesis_005,Mito_Bio_4-2,93,Control,n2,1,25,24,0,0,0,0,1
334,Mitochondrial_biogenesis_005,Mito_Bio_4-2,94,Control,n2,1,26,25,0,0,0,0,1
335,Mitochondrial_biogenesis_005,Mito_Bio_4-2,95,Control,n2,1,26,12,0,0,0,0,1
336,Mitochondrial_biogenesis_005,Mito_Bio_4-2,96,Control,n2,1,25,25,0,0,1,0,0
337,Mitochondrial_biogenesis_005,Mito_Bio_4-2,97,1uM MC16,n2,1,12,11,0,0,0,0,1
338,Mitochondrial_biogenesis_005,Mito_Bio_4-2,98,1uM MC16,n2,1,18,18,0,0,1,0,0
339,Mitochondrial_biogenesis_005,Mito_Bio_4-2,99,1uM MC16,n2,1,26,13,0,0,0,0,1
340,Mitochondrial_biogenesis_005,Mito_Bio_4-2,100,1uM MC16,n2,1,35,27,0,0,0,0,1
341,Mitochondrial_biogenesis_005,Mito_Bio_4-2,101,1uM MC16,n2,1,24,11,0,0,0,0,1
342,Mitochondrial_biogenesis_005,Mito_Bio_4-2,102,1uM MC16,n2,1,17,17,0,0,1,0,0
343,Mitochondrial_biogenesis_005,Mito_Bio_4-2,103,1uM MC16,n2,1,33,25,0,0,0,0,1
344,Mitochondrial_biogenesis_005,Mito_Bio_4-2,104,1uM MC16,n2,1,29,25,0,0,0,0,1
345,Mitochondrial_biogenesis_005,Mito_Bio_4-2,105,1uM MC16,n2,1,13,10,0,0,0,0,1
346,Mitochondrial_biogenesis_005,Mito_Bio_4-2,106,1uM MC16,n2,1,26,24,0,0,0,0,1
347,Mitochondrial_biogenesis_005,Mito_Bio_4-2,107,1uM MC16,n2,1,26,25,0,0,0,0,1
348,Mitochondrial_biogenesis_005,Mito_Bio_4-2,108,1uM MC16,n2,1,24,18,0,0,0,0,1
349,Mitochondrial_biogenesis_005,Mito_Bio_4-2,109,1uM MC16,n2,1,19,15,0,0,0,0,1
350,Mitochondrial_biogenesis_005,Mito_Bio_4-2,110,1uM MC16,n2,1,4,0,0,1,0,0,0
351,Mitochondrial_biogenesis_005,Mito_Bio_4-2,111,1uM MC16,n2,1,12,11,0,0,0,0,1
352,Mitochondrial_biogenesis_005,Mito_Bio_4-2,112,1uM MC16,n2,1,12,12,0,0,1,0,0
353,Mitochondrial_biogenesis_005,Mito_Bio_4-2,113,1uM MC16,n2,1,11,11,0,0,1,0,0
354,Mitochondrial_biogenesis_005,Mito_Bio_4-2,114,1uM MC16,n2,1,27,18,0,0,0,0,1
355,Mitochondrial_biogenesis_005,Mito_Bio_4-2,115,1uM MC16,n2,1,8,8,0,0,1,0,0
356,Mitochondrial_biogenesis_005,Mito_Bio_4-2,116,1uM MC16,n2,1,31,28,0,0,0,0,1
357,Mitochondrial_biogenesis_005,Mito_Bio_4-2,117,1uM MC16,n2,1,16,8,0,0,0,0,1
358,Mitochondrial_biogenesis_005,Mito_Bio_4-2,118,1uM MC16,n2,1,16,7,0,0,0,0,1
359,Mitochondrial_biogenesis_005,Mito_Bio_4-2,119,1uM MC16,n2,1,28,27,0,0,0,0,1
360,Mitochondrial_biogenesis_005,Mito_Bio_4-2,120,1uM MC16,n2,1,28,24,0,0,0,0,1
361,Mitochondrial_biogenesis_005,Mito_Bio_4-2,121,1uM MC16,n2,1,24,24,0,0,1,0,0
362,Mitochondrial_biogenesis_005,Mito_Bio_4-2,122,1uM MC16,n2,1,43,27,0,0,0,0,1
363,Mitochondrial_biogenesis_005,Mito_Bio_4-2,123,1uM MC16,n2,1,30,21,0,0,0,0,1
364,Mitochondrial_biogenesis_005,Mito_Bio_4-2,124,1uM MC16,n2,1,8,7,0,0,0,0,1
365,Mitochondrial_biogenesis_005,Mito_Bio_4-2,125,1uM MC16,n2,1,14,14,0,0,1,0,0
366,Mitochondrial_biogenesis_005,Mito_Bio_4-2,126,1uM MC16,n2,1,26,25,0,0,0,0,1
367,Mitochondrial_biogenesis_005,Mito_Bio_4-2,127,1uM MC16,n2,1,33,30,0,0,0,0,1
368,Mitochondrial_biogenesis_005,Mito_Bio_4-2,128,1uM MC16,n2,1,31,31,0,0,1,0,0
369,Mitochondrial_biogenesis_005,Mito_Bio_4-2,129,1uM MC16,n2,1,29,27,0,0,0,0,1
370,Mitochondrial_biogenesis_005,Mito_Bio_4-2,130,1uM MC16,n2,1,8,8,0,0,1,0,0
371,Mitochondrial_biogenesis_005,Mito_Bio_4-2,131,1uM MC16,n2,1,28,17,0,0,0,0,1
372,Mitochondrial_biogenesis_005,Mito_Bio_4-2,132,1uM MC16,n2,1,30,29,0,0,0,0,1
373,Mitochondrial_biogenesis_005,Mito_Bio_4-2,133,1uM MC16,n2,1,11,11,0,0,1,0,0
374,Mitochondrial_biogenesis_005,Mito_Bio_4-2,134,1uM MC16,n2,1,21,17,0,0,0,0,1
375,Mitochondrial_biogenesis_005,Mito_Bio_4-2,135,1uM MC16,n2,1,17,11,0,0,0,0,1
376,Mitochondrial_biogenesis_005,Mito_Bio_4-2,136,1uM MC16,n2,1,14,13,0,0,0,0,1
377,Mitochondrial_biogenesis_005,Mito_Bio_4-2,137,1uM MC16,n2,1,26,19,0,0,0,0,1
378,Mitochondrial_biogenesis_005,Mito_Bio_4-2,138,1uM MC16,n2,1,15,6,0,0,0,0,1
379,Mitochondrial_biogenesis_005,Mito_Bio_4-2,139,1uM MC16,n2,1,16,16,0,0,1,0,0
380,Mitochondrial_biogenesis_005,Mito_Bio_4-2,140,1uM MC16,n2,1,28,25,0,0,0,0,1
381,Mitochondrial_biogenesis_005,Mito_Bio_4-2,141,1uM MC16,n2,1,26,23,0,0,0,0,1
382,Mitochondrial_biogenesis_005,Mito_Bio_4-2,142,1uM MC16,n2,1,30,16,0,0,0,0,1
383,Mitochondrial_biogenesis_005,Mito_Bio_4-2,143,1uM MC16,n2,1,10,10,0,0,0,0,1
384,Mitochondrial_biogenesis_005,Mito_Bio_4-2,144,1uM MC16,n2,1,23,23,0,0,1,0,0
385,Mitochondrial_biogenesis_005,Mito_Bio_4-2,145,10uM MC16,n2,1,19,10,0,0,0,0,1
386,Mitochondrial_biogenesis_005,Mito_Bio_4-2,146,10uM MC16,n2,1,13,12,0,0,0,0,1
387,Mitochondrial_biogenesis_005,Mito_Bio_4-2,147,10uM MC16,n2,1,23,20,0,0,0,0,1
388,Mitochondrial_biogenesis_005,Mito_Bio_4-2,148,10uM MC16,n2,0,1,0,0,1,0,0,0
